1,223,11,24,50,12,10,1,80,14,134,66,6,202,14,47,24,94,73,1509,0,0,0,1,10107,10118,1,10097,16,31,6,63,14,3,68,87,22,46,14,24,8.563
1,263,8,15,20,8,10,1,50,8,178,128,22,226,17,103,24,28,18,1209,0,0,0,1,10152,10170,22,10132,4,65,2,83,14,8,74,95,5,43,15,21,6.9547500000000015
1,235,34,38,70,21,10,5,120,22,89,56,7,117,18,49,12,0,0,130,31,9,3,11,10222,10248,24,10169,1,18,14,69,24,8,94,99,14,80,24,2,14.698500000000001
1,288,44,53,70,22,40,9,140,22,67,43,24,86,12,32,24,2,3,121,31,11,5,9,10292,10324,24,10274,10,25,2,70,17,7,84,98,8,63,23,2,5.204
1,343,21,22,50,17,0,2,80,17,126,39,4,192,15,27,6,84,50,1991,0,0,0,1,10198,10214,23,10187,3,65,1,83,18,3,73,97,2,52,16,31,10.75075
1,185,47,48,70,12,10,1,120,13,6,-72,4,64,24,-94,6,0,0,333,64,58,16,16,10141,10244,1,10026,24,10,24,62,11,7,87,98,24,67,11,4,14.786250000000003
1,238,55,59,100,1,10,20,180,4,79,50,21,125,15,35,24,61,41,1544,89,49,11,1,10087,10129,22,9991,1,57,4,83,14,8,69,92,5,34,14,21,10.75425
1,322,10,18,60,16,0,5,100,16,80,25,24,131,14,5,24,11,11,255,11,4,3,16,10209,10241,1,10193,14,2,5,65,17,6,96,100,10,83,14,4,14.739
1,295,30,34,50,3,20,19,90,10,150,96,24,186,14,85,24,36,26,833,12,26,17,9,10135,10174,23,10094,1,40,9,82,17,5,88,97,2,63,17,14,14.907499999999999
1,187,28,31,50,24,10,2,90,24,161,131,3,182,19,128,6,0,0,663,128,50,11,19,10129,10165,1,10109,24,23,21,68,9,8,95,98,15,87,9,11,6.11525
1,42,33,34,40,2,30,1,80,21,2,-4,5,13,14,-3,6,0,0,121,0,0,0,1,10162,10203,23,10135,1,50,1,57,18,8,86,90,4,84,18,1,8.722999999999997
1,246,73,75,100,1,50,20,190,11,79,47,24,111,1,39,24,16,18,200,19,18,8,14,10124,10140,2,10099,15,60,13,79,21,6,76,91,14,67,19,3,12.17575
1,208,46,50,80,20,30,2,140,19,57,28,2,83,24,20,6,12,15,200,62,54,24,24,10058,10109,11,9951,24,50,20,70,10,8,92,98,3,83,17,3,13.396
1,210,82,84,100,13,60,1,180,14,148,113,7,186,21,110,12,0,0,503,25,15,9,8,10096,10131,24,10076,6,61,8,82,1,8,76,93,22,62,1,8,12.373999999999999
1,234,42,47,70,7,20,19,140,16,103,70,24,163,14,41,24,36,31,607,32,11,4,11,10171,10207,1,10146,12,23,10,82,16,7,88,98,10,63,15,9,10.87025
1,17,14,15,30,9,0,1,60,12,151,86,6,201,14,74,6,29,21,1082,0,0,0,1,10230,10245,21,10213,1,25,2,80,8,5,87,98,2,70,8,18,10.282000000000002
1,192,61,64,80,10,40,5,160,23,128,89,6,175,15,84,6,57,44,1334,3,1,1,23,9991,10010,24,9981,21,60,23,83,15,8,75,91,4,55,14,21,13.958500000000004
1,300,17,25,30,1,10,24,60,15,9,-31,23,51,15,-48,24,47,51,461,0,0,0,1,10052,10112,24,10014,2,1,8,81,15,5,91,99,5,61,15,5,9.178999999999997
1,243,49,50,60,11,20,1,120,22,34,-20,1,61,24,-45,6,3,4,126,11,6,4,6,10214,10253,2,10155,24,48,22,70,12,7,92,98,1,88,19,2,15.365749999999995
1,37,33,39,60,1,20,6,90,19,207,126,4,288,15,112,6,141,85,2962,0,0,0,1,10169,10184,1,10152,17,75,2,83,17,2,52,79,4,26,15,55,10.326
1,231,7,13,30,14,0,1,80,21,158,70,4,220,13,60,6,59,36,1967,0,0,0,1,10138,10171,1,10103,24,22,24,77,8,6,70,97,1,43,12,33,9.0275
1,222,45,48,80,11,10,21,130,11,27,-2,20,67,16,-24,24,17,15,347,39,44,15,13,10153,10185,24,10130,14,57,11,70,9,3,89,95,14,81,17,4,11.383000000000001
1,306,33,37,60,10,0,22,120,2,93,7,24,144,15,-28,24,111,74,2129,20,32,24,2,10236,10287,23,10172,1,58,5,83,16,3,72,98,5,42,15,31,11.780999999999995
1,124,21,21,30,10,20,1,40,10,98,37,6,156,14,28,6,71,75,685,0,0,0,1,10201,10229,1,10183,24,47,4,80,12,4,79,98,4,58,12,10,14.055999999999996
1,254,35,39,60,11,30,2,110,11,128,105,4,164,13,97,6,64,56,907,4,3,2,5,10183,10228,22,10119,1,64,1,80,12,6,81,94,1,63,14,14,12.975249999999999
1,59,7,17,30,17,10,1,70,16,95,13,2,170,16,-10,6,81,62,1344,0,0,0,1,10247,10259,23,10238,16,2,24,70,18,3,73,98,24,45,15,19,13.279749999999998
1,249,16,28,50,16,10,8,100,2,170,109,24,207,16,90,24,38,25,750,62,66,38,4,10136,10177,22,10087,3,42,5,81,18,5,85,96,5,54,16,13,10.231500000000002
1,269,8,15,30,1,10,7,60,10,36,-12,21,81,14,-15,24,66,82,381,0,-1,-1,1,10203,10265,23,10092,1,50,7,75,12,5,92,98,7,74,13,5,12.079250000000002
1,162,49,53,70,12,40,4,120,14,53,24,4,90,14,17,6,51,55,503,0,0,0,1,10056,10079,12,10019,24,58,1,81,15,4,78,87,2,64,15,6,9.017000000000001
1,38,7,18,20,1,10,2,70,20,182,141,2,233,14,126,6,46,28,1795,6,19,19,1,10201,10214,8,10185,24,20,3,83,9,7,71,98,3,51,14,32,10.924250000000002
1,177,13,22,40,13,10,6,70,13,55,-9,7,110,13,-22,12,69,63,948,0,0,0,1,10039,10108,24,9974,1,38,6,82,14,4,82,97,5,63,15,12,8.553249999999998
1,186,21,25,40,1,0,24,80,1,88,61,23,107,13,51,24,0,0,265,25,10,5,1,9950,9974,23,9919,3,3,22,70,12,8,95,99,22,86,13,4,10.247000000000002
1,70,42,43,60,12,30,1,100,12,127,95,24,173,12,71,24,69,60,988,0,0,0,1,10338,10350,24,10318,1,58,3,83,14,4,76,92,1,57,14,15,16.56475
